hotel_id,star_number,total_number_reviews,overall_score,location_score,sleep_quality_score,meal_score,service_score,cleanliness_score
4,3.0,260,8.069288335907338,8.283846153846154,7.942461538461538,8.48,7.9559999999999995,7.979384615384615
5,3.0,90,8.9,8.29,8.94,8.19,8.76,9.18
6,3.0,140,8.1,8.0,7.960000000000001,6.76,8.0,8.35
8,2.0,392,7.796262050383632,8.125,8.032142857142858,8.07,7.682142857142857,8.107142857142858
10,2.0,186,7.401075268817204,7.9369892473118275,7.705217391304347,7.2,7.1097849462365605,7.747849462365591
15,5.0,6790,8.225600542053321,7.709131075110457,8.604166666666666,8.34,8.320765832106039,8.530927835051546
24,1.0,322,7.575155279503105,7.9368944099378895,8.89,7.329999999999999,7.673105590062111,7.2696894409937896
25,3.0,1900,7.832153765139546,7.401221052631579,8.222774566473989,8.16,7.915663157894737,7.951157894736841
32,5.0,4857,8.323883055383982,8.539899114679844,8.471788819875776,8.0,8.321550339715875,8.673432159769407
33,3.0,92,7.211388615384615,8.23,6.69,6.61,6.57,6.69
34,5.0,232,9.200836048034937,9.306034482758621,9.504310344827585,6.0,9.504310344827585,9.504310344827585
38,2.0,16,7.3,8.0,6.67,6.0,6.67,7.67
41,4.0,1232,8.459415584415584,8.003376623376623,8.797881040892193,8.67,8.67732142857143,8.864967532467531
42,4.0,46,8.803888888888888,8.71,9.29,8.57,8.94,8.94
43,3.0,3304,7.93133092540115,8.275423728813559,8.12,7.95,7.817857142857142,7.814830508474577
44,4.0,926,8.600621954594594,8.46,8.72,8.16,8.67,8.84
54,0.0,530,9.1,9.5,-1.0,-1.0,9.2,9.3
58,3.0,224,8.297757847533632,8.38830357142857,8.65,8.36,8.305714285714286,8.569374999999999
64,4.0,40,6.528599605128205,7.025,7.25,8.0,6.65,7.15
67,4.0,1076,8.029942546046511,7.649330855018586,8.60909090909091,8.6,8.287267657992567,8.247750929368028
70,4.0,538,7.87831029981378,7.057620817843867,8.192592592592593,8.08,8.1364312267658,8.385130111524163
71,2.0,60,8.301188372881356,8.75,7.75,8.0,7.5,8.0
74,3.0,362,8.4,8.70121546961326,8.363204419889504,8.5,7.998453038674034,8.465635359116023
75,1.0,504,9.379633310139164,8.883650793650792,9.62708133971292,8.3,9.540674603174603,9.549960317460318
76,4.0,1492,8.6,7.809168900804289,8.69,8.14,8.77020107238606,9.177077747989275
78,1.0,224,7.3069506726457405,7.71,6.7,6.26,7.180000000000001,7.075000000000001
79,5.0,1380,8.499828719361856,9.37008695652174,8.91,8.7,8.583304347826086,8.62991304347826
80,2.0,176,9.004369748571428,9.0,9.31,8.0,9.14,9.34
82,3.0,6,-1.0,8.67,7.330000000000001,6.0,7.330000000000001,7.330000000000001
92,5.0,2,8.991526,10.0,10.0,10.0,10.0,10.0
101,5.0,2870,8.430913928895086,7.9379024390243895,8.78,8.64,8.713923344947736,8.826299651567945
106,2.0,1588,7.8658690176322414,8.060201511335011,8.12841530054645,7.589999999999999,7.812846347607051,7.89609571788413
109,5.0,1450,8.399889186335402,9.01558620689655,8.540875912408758,9.2,8.35103448275862,8.696689655172412
116,4.0,112,7.091071428571429,7.254821428571428,8.5,7.869999999999999,7.020535714285714,7.397857142857143
120,3.0,4708,7.494562446898896,8.49643585386576,7.8698461538461535,7.18,7.343500424808836,7.332650807136789
123,5.0,1550,9.0,8.611406451612902,8.86,8.67,9.280696774193549,9.280696774193549
126,1.0,304,8.726252623762376,8.12236842105263,8.736288659793813,8.57,8.72513157894737,8.921184210526317
130,2.0,4,-1.0,8.0,8.0,8.0,8.0,8.0
137,5.0,1160,8.448562735979293,8.323137931034484,8.654831460674156,8.38,8.738810344827586,8.884793103448274
138,4.0,2218,8.617013221019395,8.046744815148783,9.0,8.82,8.89653742110009,8.825103697024346
141,3.0,1438,8.300683613778707,8.59,8.07,7.8,8.01,8.12
143,4.0,280,8.20179211469534,8.64,8.0,7.7,8.06,8.06
145,3.0,510,8.209430255402749,7.860666666666666,8.282078431372549,8.19,8.167803921568625,8.17486274509804
36188,2.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147,3.0,189,7.50873860106383,7.919576719576719,7.340740740740741,7.0,6.887830687830688,7.361375661375662
155,3.0,2396,8.325041736227044,9.169065108514191,8.308878205128206,7.629999999999999,8.075534223706176,8.059916527545909
156,4.0,620,8.8,8.29,9.16,8.29,8.99,9.11
157,4.0,564,8.9145511687389,7.592978723404256,9.267659574468087,8.64,8.897304964539007,9.310780141843972
160,2.0,342,8.14516129032258,8.229122807017545,8.717674418604652,7.75,8.098245614035088,8.343040935672514
162,4.0,1792,8.6,8.498325892857142,8.0,0.0,8.498325892857142,8.996651785714286
163,4.0,722,7.611911357340721,8.151301939058172,8.05,7.71,7.474570637119114,7.5072576177285315
168,2.0,216,7.498806876744186,7.87037037037037,8.0,8.0,7.78888888888889,7.511111111111112
170,4.0,372,7.248397723989219,7.435483870967742,9.0,8.67,7.564516129032258,7.483870967741935
36189,4.0,2,8.4,8.0,-1.0,-1.0,8.0,10.0
178,3.0,2162,8.300646355391024,9.093783533765032,7.907511563367253,8.0,7.70777058279371,7.917354301572618
